,Krishna SentinelSat - Feb,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Total,L1,L2,Choice,Download using API or direct,Cloud,Downloadable data,Scene  Availability,,,Total,L1,L2,Choice,Download using API or direct,Cloud,Downloadable data,Scene  Availability
Feb-16,3,3,0,L1  -  03,Direct  - 0%,,,,,,4,4,0,L1  -  04,Direct  - 0%,,,
Feb-17,5,5,0,L1  -  05,Direct  - 0%,,,,,,9,9,0,L1  -  09,Direct  - 0%,,,
Feb-18,20,20,0,L1  -  20,Direct  - 0%,,,,,,36,36,0,L1  -  36,Direct  - 0%,,,
Feb-19,44,22,22,L2  -  22,API  - partially,,,,,,74,37,37,L2  -  37,API  - partially,,,
Feb-20,50,25,25,L2  -  25,API  - 0%,,,,,,78,39,39,L2  -  39,API  - 0%,,,
,,,,,,,,,,,,,,,,,,
,Godavari SentinelSat - Feb,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Total,L1,L2,Choice,Download using API or direct,Cloud,Downloadable data,Scene  Availability,,,Total,L1,L2,Choice,Download using API or direct,Cloud,Downloadable data,Scene  Availability
Feb-16,2,2,0,L1  -  02,Direct  - 0%,,,,,,2,2,0,L1  -  02,Direct  - 0%,,,
Feb-17,3,3,0,L1  -  03,Direct  - 0%,,,,,,5,5,0,L1  -  05,Direct  - 0%,,,
Feb-18,15,15,0,L1  -  15,Direct  - 0%,,,,,,25,25,0,L1  -  25,Direct  - 0%,,,
Feb-19,32,16,16,L2  -  16,API  - 0%,,,,,,52,26,26,L2  -  26,API  - 0%,,,
Feb-20,34,17,17,L2  -  17,API  - 0%,,,,,,54,27,27,L2  -  27,API  - 0%,,,
